tweet_id,user_id,screen_name,name,club,day,area,block,place,url
741195830304997381,862837028,kuroabam,"黒葉だむ","だむ工房","土","東","Ｉ","06a",https://twitter.com/kuroabam/status/741195830304997381
741195825024368641,210358568,yamabuki_u3,"由沙","君ありて幸福","金","東","モ","13a",https://twitter.com/yamabuki_u3/status/741195825024368641
741195821132156929,178351130,shirubaren,"銀嶺@歌姫20","まこべや。","日","東","U","42a",https://twitter.com/shirubaren/status/741195821132156929
741195817369755649,3003244477,hpsdmiyu_tr,"miyu＠次は閃華7","hpsd","土","東","ニ","08b",https://twitter.com/hpsdmiyu_tr/status/741195817369755649
741195805143367680,16365142,kekyo,"けきょ","けきょけきょほけきょ","日","東","Ｗ","46a",https://twitter.com/kekyo/status/741195805143367680
741195794087170048,1660392907,inoco_8,"いのこ@大阪家宝F21b","I*full","金","東","Ｂ","51a",https://twitter.com/inoco_8/status/741195794087170048
741195780845756416,2803944397,39_listening,"わたわた。@C90土曜日東Ｃ32a","Trinity＊Fleet Records","土","東","Ｃ","32a",https://twitter.com/39_listening/status/741195780845756416
741195773732216834,283404408,tukikikyu24,"あむ","fu@fua","土","東","ス","15b",https://twitter.com/tukikikyu24/status/741195773732216834
741195760587276288,46869899,alikiri,"きりづか","視認","金","東","ヒ","43a",https://twitter.com/alikiri/status/741195760587276288
741195749283627008,4609052292,96seHatsuki,"くろキチ@二日目・東モ49a","すとん！","土","東","モ","49a",https://twitter.com/96seHatsuki/status/741195749283627008
741195736834940928,146186750,isinagi99,"?＠減量中","堕落部","日","西","れ","04b",https://twitter.com/isinagi99/status/741195736834940928
741195721458601985,225564666,hisuko001,"ひすこ*C90【3日目】東I57a","裏天猫","日","東","Ｉ","57a",https://twitter.com/hisuko001/status/741195721458601985
741195719705403395,169244634,situkuma,"執事クマ","シツジノクマアナ","土","西","ｉ","16a",https://twitter.com/situkuma/status/741195719705403395
741195714047287296,124196053,yassie_A_One,"やしーさん【A-Oneとはにぽけ】","はにーぽけっと","日","西","ｐ","18b",https://twitter.com/yassie_A_One/status/741195714047287296
741195688050982912,757050768,hatyati,"はちゃち＠Live2D講座作るよ","P&amp;P","土","東","Ｐ","16b",https://twitter.com/hatyati/status/741195688050982912
741195688004845569,122172039,tomatogarden_,"とまとぴゅーれ","◆◇とまと庭園◇◆","土","東","モ","28a",https://twitter.com/tomatogarden_/status/741195688004845569
741195685303717889,46892984,A_20,"A-20@I-10b","ゆめかばん","土","西","ｌ","10b",https://twitter.com/A_20/status/741195685303717889
741195681742749696,47295111,tooko15,"15@グルコミ通常22","168","土","西","ｈ","01a",https://twitter.com/tooko15/status/741195681742749696
741195681331712001,148320971,chaya_silver,"伊久間さつき@にこ誕","てりやき茶房","日","東","ケ","25b",https://twitter.com/chaya_silver/status/741195681331712001
741195681289764864,526543301,Hifumi_Iroha,"ひふみいろは◆2日目G-42a","木野姉妹","土","東","Ｇ","42a",https://twitter.com/Hifumi_Iroha/status/741195681289764864
741195677170958336,128409348,ririnoa1,"ルビア＠3日目カ43ｂ","アトリエルビア","日","東","カ","43b",https://twitter.com/ririnoa1/status/741195677170958336
741195676629929985,130758239,silve_sa,"Silve@3日目西 j-10b","ギンイロオオカミ","日","西","ｊ","10b",https://twitter.com/silve_sa/status/741195676629929985
741195663761760256,178707180,MeimeiMidori,"明々翠","ヤガモ特攻隊","土","東","ヨ","19b",https://twitter.com/MeimeiMidori/status/741195663761760256
741195660486021120,2380611920,dafuramaki,"駄フラあき（真姫）","ソリン","日","ステンシア","イニストラード","2wb",https://twitter.com/dafuramaki/status/741195660486021120
741195655746486272,182273940,katashima_gin,"片嶋吟壱@受かれば夏コミ","ペンギン娯楽企画","日","西","ｒ","07b",https://twitter.com/katashima_gin/status/741195655746486272
741195643725615104,223723862,kannadukir,"麗夜","迷いの森の黒羊","金","東","Ｃ","19a",https://twitter.com/kannadukir/status/741195643725615104
741195641859112961,362938082,chi08ka,"BJ.chika(日曜西k-23b)","NoiZ Chocolat","日","西","k","23b",https://twitter.com/chi08ka/status/741195641859112961
741195632346554368,2450761531,anzu_momomiya,"あんず@London","桃屋","土","東","サ","48a",https://twitter.com/anzu_momomiya/status/741195632346554368
741195632048623618,332178521,natanakane,"中音ナタ@3日目東A-74b","青海苔中音飯店","日","東","Ａ","74b",https://twitter.com/natanakane/status/741195632048623618
741195625711075328,76654585,miyajiyuuki,"祐希(`σ▽σ)6/19DCR：D19a","R+G","金","東","ス","19b",https://twitter.com/miyajiyuuki/status/741195625711075328
741195621919428608,704605216537124864,nnbs0510,"殺意の塊","osoushiki","土","東","ス","38b",https://twitter.com/nnbs0510/status/741195621919428608
741195612654174208,2176122264,enuco_sss,"えぬこ","ヨアルキ","金","東","チ","20b",https://twitter.com/enuco_sss/status/741195612654174208
741195610758352896,211602292,ichienn,"1円玉@名古屋世界会議こ35.36","小学留年生","金","東","Ｔ","55b",https://twitter.com/ichienn/status/741195610758352896
741195606622752769,106662261,iwaitakesi,"拠点兵長@(日)東Ｏ-57b","拠点兵長","日","東","Ｏ","57b",https://twitter.com/iwaitakesi/status/741195606622752769
741195602373967873,125498868,eg_info,"アールグレイ","アールグレイ","土","西","ａ","46a",https://twitter.com/eg_info/status/741195602373967873
741195596527079428,47127675,aracco,"横島くんを愛でるbot","前田屋","金","東","ミ","48a",https://twitter.com/aracco/status/741195596527079428
741195587941326848,155194124,rainazel,"雨之炎/蒼乃祇艦隊・本丸","Halfbaked Bird","金","東","ポ","27b",https://twitter.com/rainazel/status/741195587941326848
741195582673289216,1627188306,order_flame,"ふれむす＠闇囁15","突撃！隣のマナタワー","土","東","Ｙ","12a",https://twitter.com/order_flame/status/741195582673289216
741195566139330560,185961077,xigma_t56,"きしぐま","焼鮭定食","日","西","ひ","08b",https://twitter.com/xigma_t56/status/741195566139330560
741195562700001280,284993487,kowloon1015,"ＡＢＱで吉村","TROMPELOEIL","金","東","Ｍ","27b",https://twitter.com/kowloon1015/status/741195562700001280
741195560502190080,317801360,Chiromakey,"はらぐろモザイク(1日目-西j16a)","Sunshine Summer Sunday","金","西","ｊ","16a",https://twitter.com/Chiromakey/status/741195560502190080
741195545478201345,102703028,simon_outside,"西門＠6/15「初恋のゆくえ」発売！","THE OUTSIDE","金","東","ラ","12b",https://twitter.com/simon_outside/status/741195545478201345
741195521046368258,150301807,yuzuki_suemizu,"末水ゆずき","しぼみ","日","東","C","49b",https://twitter.com/yuzuki_suemizu/status/741195521046368258
741195488905560064,201272768,mogehera2,"はせべくんたべるへらへら","OKT!","土","東","ソ","31a",https://twitter.com/mogehera2/status/741195488905560064
741195468001017856,1364445956,yanai37,"やナい","じゅうぶんのさん。","日","東","サ","35a",https://twitter.com/yanai37/status/741195468001017856
741195462078693377,212877180,harukaze_blue,"仲村はる","smile×smile","土","東","ヌ","37b",https://twitter.com/harukaze_blue/status/741195462078693377
741195454948352000,2158406942,noz612,"のん＠３日目東I13b","hey you!","日","東","Ｉ","13b",https://twitter.com/noz612/status/741195454948352000
